,geometry,TOT_P_2018,distance,weighted_distance,avg_bycicle,population_normal,distance_normal,avg_bycicle_normal,weighted_distance_normal
44,POINT (3.2093359713310377 51.21812174281113),2972.0,0.001014577812065096,3.0153252574574654,6697.4,0.10228876269144725,0.005818635231259344,0.11444204079819283,0.06811372809643902
45,POINT (3.2083275645755123 51.21823347441877),2972.0,0.001014577812065096,3.0153252574574654,6697.4,0.10228876269144725,0.005818635231259344,0.11444204079819283,0.06811372809643902
46,POINT (3.2008643576939066 51.217389264878996),1225.0,0.0001806521789748575,0.22129891924420045,6697.4,0.042161418000344175,0.0010360458514732747,0.11444204079819283,0.0049989613479195
47,POINT (3.2010449876213607 51.21739210020549),1225.0,0.0001806521789748575,0.22129891924420045,6697.4,0.042161418000344175,0.0010360458514732747,0.11444204079819283,0.0049989613479195
48,POINT (3.188273186731397 51.2174636335541),19.0,0.00877802170664655,0.16678241242628447,9654.266666666666,0.0006539321975563586,0.050342226841223116,0.1649675963423567,0.005430799758177482
49,POINT (3.0937547085757675 51.20353727396376),12.0,0.00010610371704574102,0.0012732446045488923,9654.266666666666,0.00041300980898296334,0.00060850810931228,0.1649675963423567,4.1459626287280904e-05
50,POINT (3.0938604432040435 51.20352843161372),12.0,0.00010610371704574102,0.0012732446045488923,9654.266666666666,0.00041300980898296334,0.00060850810931228,0.1649675963423567,4.1459626287280904e-05
51,POINT (3.0837284264302665 51.20380196326509),79.0,0.007716880871587596,0.6096335888554201,9654.266666666666,0.002718981242471175,0.04425655122839408,0.1649675963423567,0.019851001665995283
52,POINT (3.1468137164326486 50.94356481780454),1391.0,0.01472353143179236,20.480432221623172,2023.1333333333334,0.04787472035794183,0.08443990958485958,0.03457035677628889,0.1397519483911232
53,POINT (3.1468137164326486 50.94356481780454),1391.0,0.01472353143179236,20.480432221623172,2023.1333333333334,0.04787472035794183,0.08443990958485958,0.03457035677628889,0.1397519483911232
54,POINT (3.161511891952438 50.941270024823936),29.0,0.00015944350928807406,0.004623861769354148,2023.1333333333334,0.0009981070383754947,0.0009144134727831891,0.03457035677628889,3.155176044948012e-05
55,POINT (3.1613679818739273 50.94133866972147),29.0,0.00015944350928807406,0.004623861769354148,2023.1333333333334,0.0009981070383754947,0.0009144134727831891,0.03457035677628889,3.155176044948012e-05
56,POINT (3.1812891997145307 50.931778672231566),466.0,0.00011328401286222606,0.05279034999379734,8127.066666666667,0.01603854758217174,0.0006496873286011632,0.13887151656408453,0.0014470469148420413
57,POINT (3.1811872783150417 50.931828122164795),466.0,0.00011328401286222606,0.05279034999379734,8127.066666666667,0.01603854758217174,0.0006496873286011632,0.13887151656408453,0.0014470469148420413
58,POINT (3.1811872783150417 50.931828122164795),466.0,0.00011328401286222606,0.05279034999379734,8127.066666666667,0.01603854758217174,0.0006496873286011632,0.13887151656408453,0.0014470469148420413
59,POINT (3.1810641575686045 50.93188785753657),466.0,0.00013684674948530773,0.0637705852601534,8127.066666666667,0.01603854758217174,0.0007848203542099977,0.13887151656408453,0.0017480283549781118
60,POINT (3.2158318296542356 50.92270736877995),1946.0,0.0024094983962267493,4.688883879057254,8127.066666666667,0.06697642402340388,0.013818548061297755,0.13887151656408453,0.1285279402777136
61,POINT (3.2158318296542356 50.92270736877995),1946.0,0.0024094983962267493,4.688883879057254,8127.066666666667,0.06697642402340388,0.013818548061297755,0.13887151656408453,0.1285279402777136
62,POINT (3.2301722703551445 50.920602189000874),1404.0,0.0017500234646456122,2.4570329443624397,1299.5333333333333,0.04832214765100671,0.010036438867307073,0.022205818190931533,0.010769428354074507
63,POINT (3.2301722703551445 50.920602189000874),1404.0,0.0017500234646456122,2.4570329443624397,1299.5333333333333,0.04832214765100671,0.010036438867307073,0.022205818190931533,0.010769428354074507
64,POINT (3.2537930950499847 50.91676604891324),1751.0,0.0030086184348083194,5.2680908793493675,1299.5333333333333,0.06026501462743074,0.01725452007131892,0.022205818190931533,0.023090584689994066
65,POINT (3.2537930950499847 50.91676604891324),1751.0,0.0030086184348083194,5.2680908793493675,1299.5333333333333,0.06026501462743074,0.01725452007131892,0.022205818190931533,0.023090584689994066
66,POINT (3.270614134362534 50.91446289243019),917.0,0.012736924158006544,11.679759452892,1299.5333333333333,0.03156083290311478,0.0730466552317035,0.022205818190931533,0.051193588148401435
